"REF_DATE","GEO","DGUID","Life insurance sales","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1946-04","Ontario","2016A000235","Total, life insurance sales","Dollars","81","millions","6","v3834","7.1","48.46","","","","2"
"1946-04","Manitoba","2016A000246","Total, life insurance sales","Dollars","81","millions","6","v3835","8.1","6.75","","","","2"
"1946-04","Saskatchewan","2016A000247","Total, life insurance sales","Dollars","81","millions","6","v3836","9.1","4.16","","","","2"
"1946-04","Alberta","2016A000248","Total, life insurance sales","Dollars","81","millions","6","v3837","10.1","6.36","","","","2"
"1946-04","British Columbia","2016A000259","Total, life insurance sales","Dollars","81","millions","6","v3829","11.1","7.88","","","","2"
"1946-05","Canada","2016A000011124","Total, life insurance sales","Dollars","81","millions","6","v3827","1.1","111.18","","","","2"
"1946-05","Prince Edward Island","2016A000211","Total, life insurance sales","Dollars","81","millions","6","v3830","3.1","0.47","","","","2"
"1946-05","Nova Scotia","2016A000212","Total, life insurance sales","Dollars","81","millions","6","v3831","4.1","4.32","","","","2"
"1946-05","New Brunswick","2016A000213","Total, life insurance sales","Dollars","81","millions","6","v3832","5.1","3.13","","","","2"
"1946-05","Quebec","2016A000224","Total, life insurance sales","Dollars","81","millions","6","v3833","6.1","29.17","","","","2"
"1946-05","Ontario","2016A000235","Total, life insurance sales","Dollars","81","millions","6","v3834","7.1","47.66","","","","2"
"1946-05","Manitoba","2016A000246","Total, life insurance sales","Dollars","81","millions","6","v3835","8.1","6.71","","","","2"
"1946-05","Saskatchewan","2016A000247","Total, life insurance sales","Dollars","81","millions","6","v3836","9.1","4.72","","","","2"
"1946-05","Alberta","2016A000248","Total, life insurance sales","Dollars","81","millions","6","v3837","10.1","6.41","","","","2"
"1946-05","British Columbia","2016A000259","Total, life insurance sales","Dollars","81","millions","6","v3829","11.1","8.59","","","","2"
"1946-06","Canada","2016A000011124","Total, life insurance sales","Dollars","81","millions","6","v3827","1.1","110.36","","","","2"
"1946-06","Prince Edward Island","2016A000211","Total, life insurance sales","Dollars","81","millions","6","v3830","3.1","0.58","","","","2"
"1946-06","Nova Scotia","2016A000212","Total, life insurance sales","Dollars","81","millions","6","v3831","4.1","4.13","","","","2"
"1946-06","New Brunswick","2016A000213","Total, life insurance sales","Dollars","81","millions","6","v3832","5.1","2.77","","","","2"
"1946-06","Quebec","2016A000224","Total, life insurance sales","Dollars","81","millions","6","v3833","6.1","29.69","","","","2"
"1946-06","Ontario","2016A000235","Total, life insurance sales","Dollars","81","millions","6","v3834","7.1","47.52","","","","2"
"1946-06","Manitoba","2016A000246","Total, life insurance sales","Dollars","81","millions","6","v3835","8.1","6.84","","","","2"
"1946-06","Saskatchewan","2016A000247","Total, life insurance sales","Dollars","81","millions","6","v3836","9.1","5.15","","","","2"
"1946-06","Alberta","2016A000248","Total, life insurance sales","Dollars","81","millions","6","v3837","10.1","6.02","","","","2"
"1946-06","British Columbia","2016A000259","Total, life insurance sales","Dollars","81","millions","6","v3829","11.1","7.66","","","","2"
"1946-07","Canada","2016A000011124","Total, life insurance sales","Dollars","81","millions","6","v3827","1.1","112.50","","","","2"
"1946-07","Prince Edward Island","2016A000211","Total, life insurance sales","Dollars","81","millions","6","v3830","3.1","0.54","","","","2"
"1946-07","Nova Scotia","2016A000212","Total, life insurance sales","Dollars","81","millions","6","v3831","4.1","4.13","","","","2"
"1946-07","New Brunswick","2016A000213","Total, life insurance sales","Dollars","81","millions","6","v3832","5.1","3.06","","","","2"
"1946-07","Quebec","2016A000224","Total, life insurance sales","Dollars","81","millions","6","v3833","6.1","31.18","","","","2"
"1946-07","Ontario","2016A000235","Total, life insurance sales","Dollars","81","millions","6","v3834","7.1","46.84","","","","2"
"1946-07","Manitoba","2016A000246","Total, life insurance sales","Dollars","81","millions","6","v3835","8.1","6.57","","","","2"
"1946-07","Saskatchewan","2016A000247","Total, life insurance sales","Dollars","81","millions","6","v3836","9.1","4.84","","","","2"
"1946-07","Alberta","2016A000248","Total, life insurance sales","Dollars","81","millions","6","v3837","10.1","6.30","","","","2"
"1946-07","British Columbia","2016A000259","Total, life insurance sales","Dollars","81","millions","6","v3829","11.1","9.04","","","","2"
"1946-08","Canada","2016A000011124","Total, life insurance sales","Dollars","81","millions","6","v3827","1.1","90.44","","","","2"
"1946-08","Prince Edward Island","2016A000211","Total, life insurance sales","Dollars","81","millions","6","v3830","3.1","0.59","","","","2"
"1946-08","Nova Scotia","2016A000212","Total, life insurance sales","Dollars","81","millions","6","v3831","4.1","3.80","","","","2"
"1946-08","New Brunswick","2016A000213","Total, life insurance sales","Dollars","81","millions","6","v3832","5.1","2.84","","","","2"
"1946-08","Quebec","2016A000224","Total, life insurance sales","Dollars","81","millions","6","v3833","6.1","25.60","","","","2"
"1946-08","Ontario","2016A000235","Total, life insurance sales","Dollars","81","millions","6","v3834","7.1","35.36","","","","2"
"1946-08","Manitoba","2016A000246","Total, life insurance sales","Dollars","81","millions","6","v3835","8.1","5.12","","","","2"
"1946-08","Saskatchewan","2016A000247","Total, life insurance sales","Dollars","81","millions","6","v3836","9.1","4.09","","","","2"
"1946-08","Alberta","2016A000248","Total, life insurance sales","Dollars","81","millions","6","v3837","10.1","5.31","","","","2"
"1946-08","British Columbia","2016A000259","Total, life insurance sales","Dollars","81","millions","6","v3829","11.1","7.73","","","","2"
"1946-09","Canada","2016A000011124","Total, life insurance sales","Dollars","81","millions","6","v3827","1.1","95.47","","","","2"
"1946-09","Prince Edward Island","2016A000211","Total, life insurance sales","Dollars","81","millions","6","v3830","3.1","0.55","","","","2"
"1946-09","Nova Scotia","2016A000212","Total, life insurance sales","Dollars","81","millions","6","v3831","4.1","4.01","","","","2"
"1946-09","New Brunswick","2016A000213","Total, life insurance sales","Dollars","81","millions","6","v3832","5.1","2.93","","","","2"
"1946-09","Quebec","2016A000224","Total, life insurance sales","Dollars","81","millions","6","v3833","6.1","26.35","","","","2"
"1946-09","Ontario","2016A000235","Total, life insurance sales","Dollars","81","millions","6","v3834","7.1","38.97","","","","2"
"1946-09","Manitoba","2016A000246","Total, life insurance sales","Dollars","81","millions","6","v3835","8.1","5.42","","","","2"
"1946-09","Saskatchewan","2016A000247","Total, life insurance sales","Dollars","81","millions","6","v3836","9.1","3.75","","","","2"
"1946-09","Alberta","2016A000248","Total, life insurance sales","Dollars","81","millions","6","v3837","10.1","5.75","","","","2"
"1946-09","British Columbia","2016A000259","Total, life insurance sales","Dollars","81","millions","6","v3829","11.1","7.74","","","","2"
"1946-10","Canada","2016A000011124","Total, life insurance sales","Dollars","81","millions","6","v3827","1.1","111.34","","","","2"
"1946-10","Prince Edward Island","2016A000211","Total, life insurance sales","Dollars","81","millions","6","v3830","3.1","0.55","","","","2"
"1946-10","Nova Scotia","2016A000212","Total, life insurance sales","Dollars","81","millions","6","v3831","4.1","4.47","","","","2"
"1946-10","New Brunswick","2016A000213","Total, life insurance sales","Dollars","81","millions","6","v3832","5.1","3.02","","","","2"
"1946-10","Quebec","2016A000224","Total, life insurance sales","Dollars","81","millions","6","v3833","6.1","30.04","","","","2"
"1946-10","Ontario","2016A000235","Total, life insurance sales","Dollars","81","millions","6","v3834","7.1","46.63","","","","2"
"1946-10","Manitoba","2016A000246","Total, life insurance sales","Dollars","81","millions","6","v3835","8.1","6.39","","","","2"
"1946-10","Saskatchewan","2016A000247","Total, life insurance sales","Dollars","81","millions","6","v3836","9.1","5.05","","","","2"
"1946-10","Alberta","2016A000248","Total, life insurance sales","Dollars","81","millions","6","v3837","10.1","6.52","","","","2"
"1946-10","British Columbia","2016A000259","Total, life insurance sales","Dollars","81","millions","6","v3829","11.1","8.67","","","","2"
"1946-11","Canada","2016A000011124","Total, life insurance sales","Dollars","81","millions","6","v3827","1.1","116.45","","","","2"
"1946-11","Prince Edward Island","2016A000211","Total, life insurance sales","Dollars","81","millions","6","v3830","3.1","0.61","","","","2"
"1946-11","Nova Scotia","2016A000212","Total, life insurance sales","Dollars","81","millions","6","v3831","4.1","4.25","","","","2"
"1946-11","New Brunswick","2016A000213","Total, life insurance sales","Dollars","81","millions","6","v3832","5.1","3.36","","","","2"
"1946-11","Quebec","2016A000224","Total, life insurance sales","Dollars","81","millions","6","v3833","6.1","30.66","","","","2"
"1946-11","Ontario","2016A000235","Total, life insurance sales","Dollars","81","millions","6","v3834","7.1","48.84","","","","2"
"1946-11","Manitoba","2016A000246","Total, life insurance sales","Dollars","81","millions","6","v3835","8.1","7.24","","","","2"
"1946-11","Saskatchewan","2016A000247","Total, life insurance sales","Dollars","81","millions","6","v3836","9.1","5.59","","","","2"
"1946-11","Alberta","2016A000248","Total, life insurance sales","Dollars","81","millions","6","v3837","10.1","7.06","","","","2"
"1946-11","British Columbia","2016A000259","Total, life insurance sales","Dollars","81","millions","6","v3829","11.1","8.84","","","","2"
"1946-12","Canada","2016A000011124","Total, life insurance sales","Dollars","81","millions","6","v3827","1.1","102.94","","","","2"
"1946-12","Prince Edward Island","2016A000211","Total, life insurance sales","Dollars","81","millions","6","v3830","3.1","0.52","","","","2"
"1946-12","Nova Scotia","2016A000212","Total, life insurance sales","Dollars","81","millions","6","v3831","4.1","4.05","","","","2"
"1946-12","New Brunswick","2016A000213","Total, life insurance sales","Dollars","81","millions","6","v3832","5.1","3.07","","","","2"
"1946-12","Quebec","2016A000224","Total, life insurance sales","Dollars","81","millions","6","v3833","6.1","26.89","","","","2"
"1946-12","Ontario","2016A000235","Total, life insurance sales","Dollars","81","millions","6","v3834","7.1","44.23","","","","2"
"1946-12","Manitoba","2016A000246","Total, life insurance sales","Dollars","81","millions","6","v3835","8.1","5.86","","","","2"
"1946-12","Saskatchewan","2016A000247","Total, life insurance sales","Dollars","81","millions","6","v3836","9.1","4.13","","","","2"
"1946-12","Alberta","2016A000248","Total, life insurance sales","Dollars","81","millions","6","v3837","10.1","5.89","","","","2"
"1946-12","British Columbia","2016A000259","Total, life insurance sales","Dollars","81","millions","6","v3829","11.1","8.30","","","","2"
"1947-01","Canada","2016A000011124","Total, life insurance sales","Dollars","81","millions","6","v3827","1.1","106.22","","","","2"
"1947-01","Newfoundland and Labrador","2016A000210","Total, life insurance sales","Dollars","81","millions","6","v3828","2.1","0.72","","","","2"
"1947-01","Prince Edward Island","2016A000211","Total, life insurance sales","Dollars","81","millions","6","v3830","3.1","0.60","","","","2"
"1947-01","Nova Scotia","2016A000212","Total, life insurance sales","Dollars","81","millions","6","v3831","4.1","3.97","","","","2"
"1947-01","New Brunswick","2016A000213","Total, life insurance sales","Dollars","81","millions","6","v3832","5.1","2.90","","","","2"
"1947-01","Quebec","2016A000224","Total, life insurance sales","Dollars","81","millions","6","v3833","6.1","28.63","","","","2"
"1947-01","Ontario","2016A000235","Total, life insurance sales","Dollars","81","millions","6","v3834","7.1","46.21","","","","2"
"1947-01","Manitoba","2016A000246","Total, life insurance sales","Dollars","81","millions","6","v3835","8.1","5.84","","","","2"
"1947-01","Saskatchewan","2016A000247","Total, life insurance sales","Dollars","81","millions","6","v3836","9.1","3.57","","","","2"
"1947-01","Alberta","2016A000248","Total, life insurance sales","Dollars","81","millions","6","v3837","10.1","6.60","","","","2"
"1947-01","British Columbia","2016A000259","Total, life insurance sales","Dollars","81","millions","6","v3829","11.1","7.90","","","","2"
"1947-02","Canada","2016A000011124","Total, life insurance sales","Dollars","81","millions","6","v3827","1.1","106.06","","","","2"
"1947-02","Newfoundland and Labrador","2016A000210","Total, life insurance sales","Dollars","81","millions","6","v3828","2.1","0.66","","","","2"
"1947-02","Prince Edward Island","2016A000211","Total, life insurance sales","Dollars","81","millions","6","v3830","3.1","0.43","","","","2"
"1947-02","Nova Scotia","2016A000212","Total, life insurance sales","Dollars","81","millions","6","v3831","4.1","3.76","","","","2"
"1947-02","New Brunswick","2016A000213","Total, life insurance sales","Dollars","81","millions","6","v3832","5.1","2.93","","","","2"
"1947-02","Quebec","2016A000224","Total, life insurance sales","Dollars","81","millions","6","v3833","6.1","28.48","","","","2"
"1947-02","Ontario","2016A000235","Total, life insurance sales","Dollars","81","millions","6","v3834","7.1","46.43","","","","2"
"1947-02","Manitoba","2016A000246","Total, life insurance sales","Dollars","81","millions","6","v3835","8.1","6.45","","","","2"
"1947-02","Saskatchewan","2016A000247","Total, life insurance sales","Dollars","81","millions","6","v3836","9.1","3.13","","","","2"
"1947-02","Alberta","2016A000248","Total, life insurance sales","Dollars","81","millions","6","v3837","10.1","6.01","","","","2"
"1947-02","British Columbia","2016A000259","Total, life insurance sales","Dollars","81","millions","6","v3829","11.1","8.44","","","","2"
"1947-03","Canada","2016A000011124","Total, life insurance sales","Dollars","81","millions","6","v3827","1.1","109.07","","","","2"
"1947-03","Newfoundland and Labrador","2016A000210","Total, life insurance sales","Dollars","81","millions","6","v3828","2.1","0.71","","","","2"
"1947-03","Prince Edward Island","2016A000211","Total, life insurance sales","Dollars","81","millions","6","v3830","3.1","0.35","","","","2"
"1947-03","Nova Scotia","2016A000212","Total, life insurance sales","Dollars","81","millions","6","v3831","4.1","3.94","","","","2"
"1947-03","New Brunswick","2016A000213","Total, life insurance sales","Dollars","81","millions","6","v3832","5.1","2.75","","","","2"
"1947-03","Quebec","2016A000224","Total, life insurance sales","Dollars","81","millions","6","v3833","6.1","31.18","","","","2"
"1947-03","Ontario","2016A000235","Total, life insurance sales","Dollars","81","millions","6","v3834","7.1","46.18","","","","2"
"1947-03","Manitoba","2016A000246","Total, life insurance sales","Dollars","81","millions","6","v3835","8.1","5.75","","","","2"
"1947-03","Saskatchewan","2016A000247","Total, life insurance sales","Dollars","81","millions","6","v3836","9.1","3.20","","","","2"
"1947-03","Alberta","2016A000248","Total, life insurance sales","Dollars","81","millions","6","v3837","10.1","6.49","","","","2"
"1947-03","British Columbia","2016A000259","Total, life insurance sales","Dollars","81","millions","6","v3829","11.1","9.23","","","","2"
"1947-04","Canada","2016A000011124","Total, life insurance sales","Dollars","81","millions","6","v3827","1.1","108.14","","","","2"
"1947-04","Newfoundland and Labrador","2016A000210","Total, life insurance sales","Dollars","81","millions","6","v3828","2.1","0.95","","","","2"
"1947-04","Prince Edward Island","2016A000211","Total, life insurance sales","Dollars","81","millions","6","v3830","3.1","0.36","","","","2"
"1947-04","Nova Scotia","2016A000212","Total, life insurance sales","Dollars","81","millions","6","v3831","4.1","4.30","","","","2"
"1947-04","New Brunswick","2016A000213","Total, life insurance sales","Dollars","81","millions","6","v3832","5.1","2.85","","","","2"
"1947-04","Quebec","2016A000224","Total, life insurance sales","Dollars","81","millions","6","v3833","6.1","31.52","","","","2"
"1947-04","Ontario","2016A000235","Total, life insurance sales","Dollars","81","millions","6","v3834","7.1","44.89","","","","2"
"1947-04","Manitoba","2016A000246","Total, life insurance sales","Dollars","81","millions","6","v3835","8.1","5.50","","","","2"
"1947-04","Saskatchewan","2016A000247","Total, life insurance sales","Dollars","81","millions","6","v3836","9.1","3.16","","","","2"
"1947-04","Alberta","2016A000248","Total, life insurance sales","Dollars","81","millions","6","v3837","10.1","6.29","","","","2"
"1947-04","British Columbia","2016A000259","Total, life insurance sales","Dollars","81","millions","6","v3829","11.1","9.27","","","","2"
"1947-05","Canada","2016A000011124","Total, life insurance sales","Dollars","81","millions","6","v3827","1.1","113.35","","","","2"
"1947-05","Newfoundland and Labrador","2016A000210","Total, life insurance sales","Dollars","81","millions","6","v3828","2.1","0.77","","","","2"
"1947-05","Prince Edward Island","2016A000211","Total, life insurance sales","Dollars","81","millions","6","v3830","3.1","0.41","","","","2"
"1947-05","Nova Scotia","2016A000212","Total, life insurance sales","Dollars","81","millions","6","v3831","4.1","3.70","","","","2"
"1947-05","New Brunswick","2016A000213","Total, life insurance sales","Dollars","81","millions","6","v3832","5.1","2.88","","","","2"
"1947-05","Quebec","2016A000224","Total, life insurance sales","Dollars","81","millions","6","v3833","6.1","30.68","","","","2"
"1947-05","Ontario","2016A000235","Total, life insurance sales","Dollars","81","millions","6","v3834","7.1","49.14","","","","2"
"1947-05","Manitoba","2016A000246","Total, life insurance sales","Dollars","81","millions","6","v3835","8.1","6.30","","","","2"
"1947-05","Saskatchewan","2016A000247","Total, life insurance sales","Dollars","81","millions","6","v3836","9.1","4.00","","","","2"
"1947-05","Alberta","2016A000248","Total, life insurance sales","Dollars","81","millions","6","v3837","10.1","7.14","","","","2"
"1947-05","British Columbia","2016A000259","Total, life insurance sales","Dollars","81","millions","6","v3829","11.1","9.10","","","","2"
"1947-06","Canada","2016A000011124","Total, life insurance sales","Dollars","81","millions","6","v3827","1.1","108.36","","","","2"
"1947-06","Newfoundland and Labrador","2016A000210","Total, life insurance sales","Dollars","81","millions","6","v3828","2.1","0.85","","","","2"
"1947-06","Prince Edward Island","2016A000211","Total, life insurance sales","Dollars","81","millions","6","v3830","3.1","0.38","","","","2"
"1947-06","Nova Scotia","2016A000212","Total, life insurance sales","Dollars","81","millions","6","v3831","4.1","3.70","","","","2"
"1947-06","New Brunswick","2016A000213","Total, life insurance sales","Dollars","81","millions","6","v3832","5.1","2.83","","","","2"
"1947-06","Quebec","2016A000224","Total, life insurance sales","Dollars","81","millions","6","v3833","6.1","30.05","","","","2"
"1947-06","Ontario","2016A000235","Total, life insurance sales","Dollars","81","millions","6","v3834","7.1","45.19","","","","2"
"1947-06","Manitoba","2016A000246","Total, life insurance sales","Dollars","81","millions","6","v3835","8.1","6.22","","","","2"
"1947-06","Saskatchewan","2016A000247","Total, life insurance sales","Dollars","81","millions","6","v3836","9.1","4.51","","","","2"
"1947-06","Alberta","2016A000248","Total, life insurance sales","Dollars","81","millions","6","v3837","10.1","6.46","","","","2"
"1947-06","British Columbia","2016A000259","Total, life insurance sales","Dollars","81","millions","6","v3829","11.1","9.02","","","","2"
"1947-07","Canada","2016A000011124","Total, life insurance sales","Dollars","81","millions","6","v3827","1.1","101.94","","","","2"
"1947-07","Newfoundland and Labrador","2016A000210","Total, life insurance sales","Dollars","81","millions","6","v3828","2.1","0.80","","","","2"
"1947-07","Prince Edward Island","2016A000211","Total, life insurance sales","Dollars","81","millions","6","v3830","3.1","0.35","","","","2"
"1947-07","Nova Scotia","2016A000212","Total, life insurance sales","Dollars","81","millions","6","v3831","4.1","3.46","","","","2"
"1947-07","New Brunswick","2016A000213","Total, life insurance sales","Dollars","81","millions","6","v3832","5.1","2.89","","","","2"
"1947-07","Quebec","2016A000224","Total, life insurance sales","Dollars","81","millions","6","v3833","6.1","29.18","","","","2"
"1947-07","Ontario","2016A000235","Total, life insurance sales","Dollars","81","millions","6","v3834","7.1","41.21","","","","2"
"1947-07","Manitoba","2016A000246","Total, life insurance sales","Dollars","81","millions","6","v3835","8.1","5.70","","","","2"
"1947-07","Saskatchewan","2016A000247","Total, life insurance sales","Dollars","81","millions","6","v3836","9.1","4.40","","","","2"
"1947-07","Alberta","2016A000248","Total, life insurance sales","Dollars","81","millions","6","v3837","10.1","6.19","","","","2"
"1947-07","British Columbia","2016A000259","Total, life insurance sales","Dollars","81","millions","6","v3829","11.1","8.56","","","","2"
"1947-08","Canada","2016A000011124","Total, life insurance sales","Dollars","81","millions","6","v3827","1.1","85.77","","","","2"
"1947-08","Newfoundland and Labrador","2016A000210","Total, life insurance sales","Dollars","81","millions","6","v3828","2.1","0.77","","","","2"
"1947-08","Prince Edward Island","2016A000211","Total, life insurance sales","Dollars","81","millions","6","v3830","3.1","0.47","","","","2"
"1947-08","Nova Scotia","2016A000212","Total, life insurance sales","Dollars","81","millions","6","v3831","4.1","3.23","","","","2"
"1947-08","New Brunswick","2016A000213","Total, life insurance sales","Dollars","81","millions","6","v3832","5.1","2.68","","","","2"
"1947-08","Quebec","2016A000224","Total, life insurance sales","Dollars","81","millions","6","v3833","6.1","24.57","","","","2"
"1947-08","Ontario","2016A000235","Total, life insurance sales","Dollars","81","millions","6","v3834","7.1","32.55","","","","2"
"1947-08","Manitoba","2016A000246","Total, life insurance sales","Dollars","81","millions","6","v3835","8.1","5.07","","","","2"
"1947-08","Saskatchewan","2016A000247","Total, life insurance sales","Dollars","81","millions","6","v3836","9.1","3.67","","","","2"
"1947-08","Alberta","2016A000248","Total, life insurance sales","Dollars","81","millions","6","v3837","10.1","5.47","","","","2"
"1947-08","British Columbia","2016A000259","Total, life insurance sales","Dollars","81","millions","6","v3829","11.1","8.06","","","","2"
"1947-09","Canada","2016A000011124","Total, life insurance sales","Dollars","81","millions","6","v3827","1.1","90.17","","","","2"
"1947-09","Newfoundland and Labrador","2016A000210","Total, life insurance sales","Dollars","81","millions","6","v3828","2.1","0.82","","","","2"
"1947-09","Prince Edward Island","2016A000211","Total, life insurance sales","Dollars","81","millions","6","v3830","3.1","0.51","","","","2"
"1947-09","Nova Scotia","2016A000212","Total, life insurance sales","Dollars","81","millions","6","v3831","4.1","3.38","","","","2"
"1947-09","New Brunswick","2016A000213","Total, life insurance sales","Dollars","81","millions","6","v3832","5.1","2.64","","","","2"
"1947-09","Quebec","2016A000224","Total, life insurance sales","Dollars","81","millions","6","v3833","6.1","25.21","","","","2"
"1947-09","Ontario","2016A000235","Total, life insurance sales","Dollars","81","millions","6","v3834","7.1","35.69","","","","2"
"1947-09","Manitoba","2016A000246","Total, life insurance sales","Dollars","81","millions","6","v3835","8.1","5.30","","","","2"
"1947-09","Saskatchewan","2016A000247","Total, life insurance sales","Dollars","81","millions","6","v3836","9.1","3.64","","","","2"
"1947-09","Alberta","2016A000248","Total, life insurance sales","Dollars","81","millions","6","v3837","10.1","5.94","","","","2"
"1947-09","British Columbia","2016A000259","Total, life insurance sales","Dollars","81","millions","6","v3829","11.1","7.86","","","","2"
"1947-10","Canada","2016A000011124","Total, life insurance sales","Dollars","81","millions","6","v3827","1.1","107.51","","","","2"
"1947-10","Newfoundland and Labrador","2016A000210","Total, life insurance sales","Dollars","81","millions","6","v3828","2.1","0.70","","","","2"
"1947-10","Prince Edward Island","2016A000211","Total, life insurance sales","Dollars","81","millions","6","v3830","3.1","0.44","","","","2"
"1947-10","Nova Scotia","2016A000212","Total, life insurance sales","Dollars","81","millions","6","v3831","4.1","3.97","","","","2"
"1947-10","New Brunswick","2016A000213","Total, life insurance sales","Dollars","81","millions","6","v3832","5.1","2.87","","","","2"
"1947-10","Quebec","2016A000224","Total, life insurance sales","Dollars","81","millions","6","v3833","6.1","30.81","","","","2"
"1947-10","Ontario","2016A000235","Total, life insurance sales","Dollars","81","millions","6","v3834","7.1","43.04","","","","2"
"1947-10","Manitoba","2016A000246","Total, life insurance sales","Dollars","81","millions","6","v3835","8.1","6.25","","","","2"
"1947-10","Saskatchewan","2016A000247","Total, life insurance sales","Dollars","81","millions","6","v3836","9.1","4.46","","","","2"
"1947-10","Alberta","2016A000248","Total, life insurance sales","Dollars","81","millions","6","v3837","10.1","6.68","","","","2"
"1947-10","British Columbia","2016A000259","Total, life insurance sales","Dollars","81","millions","6","v3829","11.1","8.99","","","","2"
"1947-11","Canada","2016A000011124","Total, life insurance sales","Dollars","81","millions","6","v3827","1.1","118.25","","","","2"
"1947-11","Newfoundland and Labrador","2016A000210","Total, life insurance sales","Dollars","81","millions","6","v3828","2.1","0.64","","","","2"
"1947-11","Prince Edward Island","2016A000211","Total, life insurance sales","Dollars","81","millions","6","v3830","3.1","0.55","","","","2"
"1947-11","Nova Scotia","2016A000212","Total, life insurance sales","Dollars","81","millions","6","v3831","4.1","4.21","","","","2"
"1947-11","New Brunswick","2016A000213","Total, life insurance sales","Dollars","81","millions","6","v3832","5.1","2.89","","","","2"
